quarter,month,week,track,artist,label,hot100_rank,hot100_last_week,hot100_peak,hot100_woc,hot100_change,hot100_growth_rate,hot100_acceleration,radio_rank,radio_last_week,radio_peak,radio_woc,radio_change,radio_growth_rate,radio_acceleration,streaming_rank,streaming_last_week,streaming_peak,streaming_woc,streaming_change,streaming_growth_rate,streaming_acceleration,sales_rank,sales_last_week,sales_peak,sales_woc,sales_change,sales_growth_rate,sales_acceleration,apple_rank,apple_last_week,apple_peak,apple_woc,apple_change,apple_growth_rate,apple_acceleration,spotify_rank,spotify_last_week,spotify_peak,spotify_woc,spotify_change,spotify_growth_rate,spotify_acceleration,spotify_streams,is_collab,is_top_artist,is_top_label,is_holiday_season,is_summer_season,is_award_season,available_platforms,best_platform,platform_change_momentum,platform_acceleration_momentum,platform_divergence,spotify_vs_apple,streaming_vs_radio,streaming_vs_sales,radio_vs_sales,spotify_leads_apple,streaming_leads_radio,streaming_leads_sales,radio_leads_sales
1,1,1,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Unknown,42,48,38,6,0.06,0.12,0.0,0,0,0,0,0.0,0.0,0.0,38,49,34,7,0.22,0.22,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,2,streaming,14.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,I Saw Mommy Kissing Santa Claus,Jackson 5,UNI/MOTOWN,43,0,43,1,0.58,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,39,1,0.24,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,64,96,55,22,0.16,0.33,0.0,4349266,0,1,0,1,0,0,3,streaming,32.67,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Thinkin' Bout Me,Morgan Wallen,Big Loud Records / Mercury Records / Republic Records,44,37,7,43,-0.07,-0.19,0.0,16,18,11,17,0.04,0.11,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,33,34,2,43,0.01,0.03,0.0,109,95,9,43,-0.07,-0.15,0.0,3161877,0,0,0,1,0,0,4,radio,-2.25,0.0,0.23,-0.22,0.0,0.0,0.0,-0.08,0.03,-1.0,0.41
1,1,1,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,Columbia/Legacy,45,38,16,27,-0.07,-0.18,0.0,0,0,0,0,0.0,0.0,0.0,41,33,6,35,-0.16,-0.24,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,191,0,157,3,0.0,0.0,0.0,2347992,1,0,1,1,0,0,3,streaming,-11.5,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Merry Christmas,Ed Sheeran & Elton John,Atlantic Records UK,46,0,42,7,0.55,0.0,0.0,0,0,0,0,0.0,0.0,0.0,36,45,34,4,0.18,0.2,0.0,19,0,4,8,0.28,0.0,0.0,0,0,0,0,0.0,0.0,0.0,126,175,106,4,0.24,0.28,0.0,3052500,1,0,0,1,0,0,4,sales,31.38,0.0,0.35,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
1,1,1,Fast Car,Luke Combs,River House Artists/Columbia Nashville,47,46,2,40,-0.01,-0.02,0.0,10,12,1,33,0.04,0.17,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,56,62,5,40,0.06,0.1,0.0,141,135,4,40,-0.03,-0.04,0.0,2824378,0,0,0,1,0,0,4,radio,1.5,0.0,0.3,-0.14,0.0,0.0,0.0,0.5,0.11,0.8,0.64
1,1,1,Lose Control,Teddy Swims,Warner Records,48,41,39,20,-0.07,-0.17,0.0,24,32,24,3,0.16,0.25,0.0,0,0,0,0,0.0,0.0,0.0,4,2,2,24,-0.08,-1.0,0.0,0,0,0,0,0.0,0.0,0.0,115,108,108,7,-0.04,-0.06,0.0,3116659,0,0,1,1,0,0,4,sales,-0.62,0.0,0.26,0.0,0.0,0.0,-0.32,0.66,0.05,-0.2,-0.11
1,1,1,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,Taylor Swift,49,40,1,9,-0.09,-0.22,0.0,11,14,11,8,0.06,0.21,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,75,51,1,9,-0.12,-0.47,0.0,4063838,0,1,0,1,0,0,3,radio,-5.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0
1,1,1,(There's No Place Like) Home For The Holidays (1954),Perry Como With Mitchell Ayers And His Orchestra,Unknown,50,0,50,1,0.51,0.0,0.0,0,0,0,0,0.0,0.0,0.0,43,48,41,3,0.1,0.1,0.0,0,0,0,0,0.0,0.0,0.0,94,0,79,4,0.07,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,3,streaming,22.67,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Lil Boo Thang,Paul Russell,Arista Records,51,47,23,15,-0.04,-0.09,0.0,7,8,6,14,0.02,0.12,0.0,0,0,0,0,0.0,0.0,0.0,8,12,2,19,0.16,0.33,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,radio,4.67,0.0,0.21,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.95
