rank,artist,track,label,sp_peak,sp_last_week,sp_woc,streams,date
9,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",1,1,6,12601333,11/28/2024
10,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",Columbia,2,2,5,11788213,11/28/2024
11,"Kendrick Lamar, AZ Chike",peekaboo (feat. azchike),"pgLang, under exclusive license to Interscope Records",11,-1,1,11671836,11/28/2024
12,Kendrick Lamar,heart pt. 6,"pgLang, under exclusive license to Interscope Records",12,-1,1,11442392,11/28/2024
13,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1,3,15,10339480,11/28/2024
14,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,3,4,18,9785295,11/28/2024
15,"Kendrick Lamar, SZA",gloria (with sza),"pgLang, under exclusive license to Interscope Records",15,-1,1,9530355,11/28/2024
16,"Kendrick Lamar, Hitta J3, YoungThreat, Peysoh","gnx (feat. hitta j3, youngthreat, peysoh)","pgLang, under exclusive license to Interscope Records",16,-1,1,9521378,11/28/2024
17,"ROSÉ, Bruno Mars",APT.,Atlantic Records,1,9,6,9210815,11/28/2024
18,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2,5,28,8820228,11/28/2024
19,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),Columbia,11,12,5,8229272,11/28/2024
20,Jimin,Who,BIGHIT MUSIC,2,7,19,8151231,11/28/2024
21,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,1,28,56,8067825,11/28/2024
22,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),XO / Republic Records,1,10,9,7959375,11/28/2024
23,Mariah Carey,All I Want for Christmas Is You,Columbia,1,23,64,7915725,11/28/2024
24,Sabrina Carpenter,Taste,Island Records,1,6,14,7500878,11/28/2024
25,Bobby Helms,Jingle Bell Rock,Universal Digital Enterprises,2,39,56,7380550,11/28/2024
26,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,1,11,34,7178037,11/28/2024
27,Wham!,Last Christmas - Single Version,Sony Music CG,4,34,54,7095580,11/28/2024
28,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,11,13,28,6781441,11/28/2024
29,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,3,18,33,6698789,11/28/2024
30,"Tyler, The Creator, Daniel Caesar",St. Chroma (feat. Daniel Caesar),Columbia,1,8,5,6681280,11/28/2024
31,Sabrina Carpenter,Espresso,Island Records,1,16,33,6412152,11/28/2024
32,"GloRilla, Sexyy Red",WHATCHU KNO ABOUT ME (feat. Sexyy Red),CMG/Interscope Records,32,33,6,6394699,11/28/2024
33,"Cynthia Erivo, Ariana Grande",Defying Gravity,Universal Studios and Republic Records,33,-1,1,6357775,11/28/2024
34,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,5,14,178,6297384,11/28/2024
35,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records / Republic Records,1,17,29,6248665,11/28/2024
36,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",11,15,20,6197646,11/28/2024
37,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,43,30,5677610,11/28/2024
38,"Oscar Maydon, Fuerza Regida",Tu Boda,Rancho Humilde/Sony Music Latin,19,19,7,5520006,11/28/2024
39,Teddy Swims,Lose Control,Warner Records,10,26,55,5517948,11/28/2024
40,Sabrina Carpenter,Please Please Please,Island Records,1,22,25,5499503,11/28/2024
41,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,27,45,5472673,11/28/2024
42,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol Records,6,61,39,5360818,11/28/2024
43,Andy Williams,It's the Most Wonderful Time of the Year,Columbia/Legacy,4,69,51,5336207,11/28/2024
44,Chappell Roan,HOT TO GO!,Chappell Roan PS/ Island,9,25,33,5244645,11/28/2024
45,Ariana Grande,Santa Tell Me,Universal Records,5,57,50,5230910,11/28/2024
46,The Marías,No One Noticed,Nice Life/Atlantic,20,20,15,5201412,11/28/2024
47,The Kid LAROI,NIGHTS LIKE THIS,Columbia,24,32,23,5200222,11/28/2024
48,Morgan Wallen,Love Somebody,Big Loud Records / Mercury Records / Republic Records,3,30,6,5142478,11/28/2024
49,Sabrina Carpenter,Bed Chem,Island Records,7,21,14,5080851,11/28/2024
50,The Neighbourhood,Sweater Weather,Columbia,13,35,223,5010254,11/28/2024
51,Ariana Grande,Popular,Universal Studios and Republic Records,51,-1,1,4947908,11/28/2024
52,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,37,109,4891428,11/28/2024
53,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,31,31,2,4836747,11/28/2024
54,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,1,40,66,4675015,11/28/2024
55,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,12,36,25,4643116,11/28/2024
56,"Ariana Grande, Cynthia Erivo",What Is This Feeling?,Universal Studios and Republic Records,56,-1,1,4521553,11/28/2024
57,"Tyler, The Creator, Teezo Touchdown","Darling, I (feat. Teezo Touchdown)",Columbia,4,24,5,4504465,11/28/2024
58,Sabrina Carpenter,Juno,Island Records,13,41,14,4495102,11/28/2024
59,"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),RCA Records Label,16,134,40,4377477,11/28/2024
60,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,2,44,31,4373424,11/28/2024
61,Zach Bryan,Something in the Orange,Warner Records,4,42,136,4343076,11/28/2024
62,"Arcane, Stromae, Pomme",Ma Meilleure Ennemie (from the series Arcane League of Legends),Riot Games,62,-1,1,4241559,11/28/2024
63,Kelly Clarkson,Underneath the Tree,RCA Records Label,8,129,38,4150301,11/28/2024
64,Michael Bublé,It's Beginning to Look a Lot like Christmas,Reprise,7,103,51,4091050,11/28/2024
65,Nat King Cole,The Christmas Song (Merry Christmas To You),Capitol Records,11,152,43,4087446,11/28/2024
66,Michael Bublé,Holly Jolly Christmas,Reprise,16,147,39,4072131,11/28/2024
67,"Tyler, The Creator",Rah Tah Tah,Columbia,3,38,5,4048812,11/28/2024
68,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,13,172,273,4041050,11/28/2024
69,Frank Ocean,Pink + White,Boys Don't Cry,30,46,120,4031278,11/28/2024
70,Gunna,on one tonight,300 Entertainment,51,51,7,3945644,11/28/2024
71,Don Toliver,No Pole,Cactus Jack / Atlantic,49,49,6,3910962,11/28/2024
72,José Feliciano,Feliz Navidad,RCA Records Label,8,186,40,3907677,11/28/2024
73,The Ronettes,Sleigh Ride,Legacy Recordings,10,197,36,3896927,11/28/2024
74,John Williams,"Carol of the Bells (From ""Home Alone"" Soundtrack)",Masterworks,40,193,37,3868124,11/28/2024
75,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,1,50,36,3848251,11/28/2024
76,"Morgan Wallen, ERNEST",Cowgirls (feat. ERNEST),Big Loud Records / Mercury Records / Republic Records,19,48,84,3844942,11/28/2024
77,Zach Bryan,Pink Skies,Warner Records,8,47,27,3836770,11/28/2024
78,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,1,-1,253,3780307,11/28/2024
79,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas - 1947 Version,Geffen,5,-1,45,3677180,11/28/2024
80,"Tyler, The Creator, ScHoolboy Q, Santigold",Thought I Was Dead (feat. ScHoolboy Q & Santigold),Columbia,12,45,5,3658278,11/28/2024
81,Mitski,My Love Mine All Mine,Dead Oceans,3,60,63,3643300,11/28/2024
82,Tate McRae,2 hands,RCA Records Label,29,29,2,3632251,11/28/2024
83,Sia,Snowman,Monkey Puzzle/Atlantic,34,184,23,3601242,11/28/2024
84,SZA,Snooze,Top Dawg Entertainment/RCA Records,10,79,103,3584112,11/28/2024
85,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,66,103,3583319,11/28/2024
86,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,71,96,3582317,11/28/2024
87,"Rauw Alejandro, Romeo Santos",Khé?,Sony Music Latin/Duars Entertainment,59,59,2,3540244,11/28/2024
88,Dasha,Austin (Boots Stop Workin'),Warner Records,20,72,38,3506882,11/28/2024
89,Don Toliver,NEW DROP,Cactus Jack / Atlantic,53,55,11,3505423,11/28/2024
90,"Tito Double P, Peso Pluma",DOS DÍAS,2024 Double P Records,50,62,12,3475546,11/28/2024
91,NLE Choppa,Gang Baby,Warner Records,91,-1,1,3450507,11/28/2024
92,PinkPantheress,Pain,Parlophone UK,48,58,66,3447265,11/28/2024
93,"Jonathan Bailey, Ariana Grande, Ethan Slater, Marissa Bode, Cynthia Erivo",Dancing Through Life,Universal Studios and Republic Records,93,-1,1,3441229,11/28/2024
94,Arctic Monkeys,505,Domino Recording Co,18,67,201,3402347,11/28/2024
95,"Wicked Movie Cast, Ariana Grande, Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke, Jenna Boyd",No One Mourns the Wicked,Universal Studios and Republic Records,95,-1,1,3399717,11/28/2024
96,Zach Bryan,Heading South,Warner Records,30,68,107,3397235,11/28/2024
97,Bruno Mars,That's What I Like,Atlantic Records,3,82,76,3395906,11/28/2024
98,Zach Top,I Never Lie,Leo33,98,100,8,3381835,11/28/2024
99,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,2,83,70,3347767,11/28/2024
100,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",22,54,36,3327080,11/28/2024
101,TV Girl,Lovers Rock,TV Girl,38,70,106,3311686,11/28/2024
102,The Goo Goo Dolls,Iris,Warner Records,85,85,41,3311463,11/28/2024
103,Morgan Wallen,Lies Lies Lies,Big Loud Records / Mercury Records / Republic Records,9,81,21,3303440,11/28/2024
104,Vance Joy,Riptide,Atlantic Records,59,76,68,3301899,11/28/2024
105,"Cynthia Erivo, Michelle Yeoh",The Wizard And I,Universal Studios and Republic Records,105,-1,1,3301145,11/28/2024
106,BigXthaPlug,Mmhmm,BigXthaPlug under exclusive license to UnitedMasters LLC,38,73,50,3292339,11/28/2024
107,"Tyler, The Creator, Doechii",Balloon (feat. Doechii),Columbia,29,65,5,3291602,11/28/2024
108,Frank Ocean,White Ferrari,Boys Don't Cry,64,64,13,3274392,11/28/2024
109,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,6,86,202,3256030,11/28/2024
110,Bryson Tiller,Don't,TrapSoul/RCA Records,58,74,153,3231417,11/28/2024
111,Tucker Wetmore,Wind Up Missin’ You,Tucker Wetmore,48,96,35,3229641,11/28/2024
112,Hozier,Take Me To Church,Universal-Island Records Ltd.,63,78,53,3206577,11/28/2024
113,Gracie Abrams,Close To You,"Gracie Abrams, under exclusive license to Interscope Records",27,80,25,3144804,11/28/2024
114,"Future, Metro Boomin, Kendrick Lamar",Like That,Wilburn Holding Co./Boominati/Epic/Republic,1,119,36,3131847,11/28/2024
115,Gunna,one of wun,300 Entertainment,23,94,29,3125499,11/28/2024
116,Sabrina Carpenter,Good Graces,Island Records,7,63,14,3122053,11/28/2024
117,The Red Clay Strays,Wondering Why,Red Clay Strays,83,108,39,3120118,11/28/2024
118,Hotel Ugly,Shut up My Moms Calling,"Hotel Ugly, under exclusive license to Amuseio AB",29,53,117,3119496,11/28/2024
119,Bruno Mars,Locked out of Heaven,Atlantic Records,85,93,22,3081878,11/28/2024
120,Nat King Cole,Deck The Hall,CAPITOL CATALOG MKT (C92),23,-1,14,3074147,11/28/2024
121,PARTYNEXTDOOR,Break from Toronto,OVO Sound,67,105,63,3066089,11/28/2024
122,Chappell Roan,Red Wine Supernova,Chappell Roan PS/ Island,15,77,34,3060706,11/28/2024
123,Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),Atlantic Records,17,87,28,3056470,11/28/2024
124,Ariana Grande,we can't be friends (wait for your love),Republic Records,2,98,38,3054299,11/28/2024
125,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,154,116,3053965,11/28/2024
126,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,7,75,28,3042771,11/28/2024
127,"Peso Pluma, Neton Vega",LA PATRULLA,2024 Double P Records,39,88,22,3027828,11/28/2024
128,"Eartha Kitt, Henri René and His Orchestra",Santa Baby (with Henri René & His Orchestra),RCA Bluebird,20,-1,35,3025167,11/28/2024
129,"Tyler, The Creator",Noid,Columbia,2,52,6,2997759,11/28/2024
130,d4vd,Romantic Homicide,Darkroom/Interscope Records,3,120,119,2987917,11/28/2024
131,Sabrina Carpenter,Nonsense,Island Records,15,95,98,2948972,11/28/2024
132,Chuck Berry,Run Rudolph Run,Geffen*,22,-1,36,2932354,11/28/2024
133,Darlene Love,Christmas (Baby Please Come Home),Legacy Recordings,19,-1,27,2929136,11/28/2024
134,Luke Combs,When It Rains It Pours,River House Artists/Columbia Nashville,60,109,135,2928755,11/28/2024
135,Steve Lacy,Dark Red,Three Quarter,16,107,170,2919287,11/28/2024
136,Djo,End of Beginning,Djo,3,115,41,2914576,11/28/2024
137,Coldplay,Yellow,Parlophone UK,99,104,16,2864989,11/28/2024
138,Elvis Presley,Blue Christmas,RCA Victor,17,-1,38,2852674,11/28/2024
139,Miguel,Sure Thing,Jive,10,97,106,2851554,11/28/2024
140,"A$AP Rocky, Imogen Heap, Clams Casino",I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Worldwide/RCA Records,78,84,21,2849939,11/28/2024
141,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,62,112,109,2848707,11/28/2024
142,Frank Ocean,Thinkin Bout You,Red Zone Entertainment / IDJ,42,89,48,2819592,11/28/2024
143,GloRilla,TGIF,CMG/Interscope Records,76,141,22,2793042,11/28/2024
144,"Mac Miller, Empire Of The Sun",The Spins,Rostrum Records,61,136,160,2789691,11/28/2024
145,Zach Bryan,Sun to Me,Warner Records,35,118,81,2786630,11/28/2024
146,PARTYNEXTDOOR,Dreamin,OVO Sound,146,151,2,2775189,11/28/2024
147,"Charli xcx, Billie Eilish",Guess featuring billie eilish,Atlantic Records,7,102,17,2774080,11/28/2024
148,Luke Combs,Beautiful Crazy,River House Artists/Columbia Nashville,61,150,213,2771225,11/28/2024
149,Linkin Park,In the End,Warner Records,46,123,12,2768293,11/28/2024
150,TV Girl,Not Allowed,TV Girl,39,110,81,2739282,11/28/2024
151,The Killers,Mr. Brightside,Island Records,50,145,222,2737729,11/28/2024
152,Morgan Wallen,Thinkin’ Bout Me,Big Loud Records / Mercury Records / Republic Records,9,117,91,2735655,11/28/2024
153,Morgan Wallen,You Proof,Big Loud Records / Mercury Records / Republic Records,8,146,133,2730213,11/28/2024
154,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!,WTM CLASSIC,9,-1,42,2717744,11/28/2024
155,Tate McRae,It's ok I'm ok,RCA Records Label,15,56,11,2712234,11/28/2024
156,Tito Double P,EL LOKERON,2024 Double P Records,71,114,10,2709608,11/28/2024
157,Taylor Swift,Cruel Summer,Taylor Swift,2,116,107,2707330,11/28/2024
158,Michael Marcagi,Scared To Start,Warner Records,16,125,45,2705920,11/28/2024
159,Chris Stapleton,You Should Probably Leave,Mercury Nashville,56,191,75,2703603,11/28/2024
160,Frank Ocean,Ivy,Boys Don't Cry,105,106,24,2702695,11/28/2024
161,"Bing Crosby, The Andrews Sisters",Mele Kalikimaka - New mono-to-stereo mix,Good Music,28,-1,23,2700991,11/28/2024
162,Chris Stapleton,Tennessee Whiskey,Mercury Nashville,92,194,181,2679540,11/28/2024
163,The Beach Boys,Little Saint Nick - 1991 Remix,Capitol Records,19,-1,27,2679244,11/28/2024
164,TV Girl,Cigarettes out the Window,TV Girl,94,122,43,2672699,11/28/2024
165,Cigarettes After Sex,Apocalypse,Partisan Records,49,121,103,2670757,11/28/2024
166,GloRilla,Yeah Glo!,CMG/Interscope Records,38,148,35,2656982,11/28/2024
167,"XXXTENTACION, Trippie Redd",Fuck Love,Bad Vibes Forever / EMPIRE,8,149,220,2646767,11/28/2024
168,Gracie Abrams,"I miss you, I’m sorry","Gracie Abrams, under exclusive license to Interscope Records",92,92,8,2645928,11/28/2024
169,Myles Smith,Stargazing,RCA Records Label,24,138,29,2643671,11/28/2024
170,The Weavers,We Wish You A Merry Christmas,Geffen,5,-1,44,2642176,11/28/2024
171,Justin Bieber,Mistletoe,RBMG/Def Jam,15,-1,44,2634386,11/28/2024
172,Addison Rae,Diet Pepsi,Columbia,35,111,14,2630158,11/28/2024
173,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,25,181,116,2626692,11/28/2024
174,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Columbia/Legacy,44,-1,27,2626417,11/28/2024
175,Cage The Elephant,Cigarette Daydreams,RCA Records Label,104,131,101,2625477,11/28/2024
176,Vince Guaraldi Trio,Christmas Time Is Here,Fantasy Records,32,-1,29,2621160,11/28/2024
177,Lil Tecca,Ransom,Republic Records,1,-1,68,2618213,11/28/2024
178,"NLE Choppa, 41, Kyle Richh",Or What,Warner Records,38,144,9,2615336,11/28/2024
179,Imogen Heap,Headlock,Megaphonic,179,188,2,2610369,11/28/2024
180,Kanye West,Heartless,Roc-A-Fella,37,133,159,2605921,11/28/2024
181,SZA,Nobody Gets Me,Top Dawg Entertainment/RCA Records,3,157,26,2601258,11/28/2024
182,Gorillaz,Feel Good Inc.,Parlophone UK,139,165,6,2600508,11/28/2024
183,Tory Lanez,The Color Violet,One Umbrella Records,26,140,107,2600235,11/28/2024
184,Kendrick Lamar,HUMBLE.,Aftermath,1,-1,222,2592740,11/28/2024
185,Gracie Abrams,Risk,"Gracie Abrams, under exclusive license to Interscope Records",96,99,8,2581637,11/28/2024
186,"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,3,-1,98,2581119,11/28/2024
187,Bailey Zimmerman,Rock and A Hard Place,Warner Music Nashville/Elektra,26,-1,86,2577876,11/28/2024
188,Josh Meloy,Porch Light,Josh Meloy Music,120,-1,28,2572890,11/28/2024
189,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,44,143,23,2572305,11/28/2024
190,Laufey,From The Start,Laufey,45,163,58,2571707,11/28/2024
191,Luke Combs,Fast Car,River House Artists/Columbia Nashville,4,180,83,2569797,11/28/2024
192,Laufey,Winter Wonderland - Spotify Singles Holiday,Laufey,50,-1,5,2567379,11/28/2024
193,Richy Mitch & The Coal Miners,Evergreen,Richy Mitch & The Coal Miners,40,113,62,2565881,11/28/2024
194,Frank Sinatra,Have Yourself A Merry Little Christmas - Remastered 1999,Capitol Records,58,-1,10,2562899,11/28/2024
195,Bruno Mars,Just the Way You Are,Elektra (NEK),108,169,8,2559157,11/28/2024
196,Radiohead,Creep,XL Recordings,129,135,33,2548888,11/28/2024
197,Morgan Wallen,Wasted On You,Big Loud / Republic,3,166,200,2541931,11/28/2024
198,Chappell Roan,Casual,Chappell Roan PS/ Island,32,126,26,2530075,11/28/2024
199,Eyedress,Jealous,Lex Records,119,128,49,2528164,11/28/2024
200,BigXthaPlug,Back On My BS,BigXthaPlug under exclusive license to UnitedMasters LLC,74,189,28,2524203,11/28/2024
1,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),"pgLang, under exclusive license to Interscope Records",1,2,2,17261372,12/5/2024
2,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",2,3,2,16639996,12/5/2024
3,Kendrick Lamar,squabble up,"pgLang, under exclusive license to Interscope Records",1,1,2,15146319,12/5/2024
4,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,1,21,57,13012121,12/5/2024
5,Bobby Helms,Jingle Bell Rock,Geffen,2,25,57,11600682,12/5/2024
6,Mariah Carey,All I Want for Christmas Is You,Columbia,1,23,65,11470743,12/5/2024
7,Wham!,Last Christmas,Epic,4,27,55,11062040,12/5/2024
8,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",1,9,7,10696654,12/5/2024
9,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1,13,16,9718427,12/5/2024
10,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",Columbia,2,10,6,9476996,12/5/2024
11,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,3,14,19,8731063,12/5/2024
12,Andy Williams,It's the Most Wonderful Time of the Year,Columbia/Legacy,4,43,52,8624627,12/5/2024
13,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol Records,6,42,40,8389942,12/5/2024
14,"ROSÉ, Bruno Mars",APT.,Atlantic Records,1,17,7,8345330,12/5/2024
15,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2,18,29,8290661,12/5/2024
16,Ariana Grande,Santa Tell Me,Universal Records,5,45,51,8215494,12/5/2024
17,Jimin,Who,BIGHIT MUSIC,2,20,20,8199490,12/5/2024
18,"Kendrick Lamar, Dody6",hey now (feat. dody6),"pgLang, under exclusive license to Interscope Records",5,5,2,7957883,12/5/2024
19,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),XO / Republic Records,1,22,10,7779945,12/5/2024
20,Kendrick Lamar,wacced out murals,"pgLang, under exclusive license to Interscope Records",4,4,2,7710807,12/5/2024
21,"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),RCA Records Label,16,59,41,7519776,12/5/2024
22,"Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch","dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","pgLang, under exclusive license to Interscope Records",8,8,2,7252634,12/5/2024
23,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),Columbia,11,19,6,7242404,12/5/2024
24,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,1,26,35,7224041,12/5/2024
25,"Cynthia Erivo, Ariana Grande",Defying Gravity,Universal Studios and Republic Records,25,33,2,7044564,12/5/2024
26,Kelly Clarkson,Underneath the Tree,RCA Records Label,8,63,39,6874017,12/5/2024
27,Nat King Cole,The Christmas Song (Merry Christmas To You),Capitol Records,11,65,44,6717185,12/5/2024
28,Kendrick Lamar,reincarnated,"pgLang, under exclusive license to Interscope Records",6,6,2,6623713,12/5/2024
29,Michael Bublé,Holly Jolly Christmas,Reprise,16,66,40,6606245,12/5/2024
30,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,5,34,179,6539621,12/5/2024
31,The Ronettes,Sleigh Ride,Legacy Recordings,10,73,37,6535660,12/5/2024
32,José Feliciano,Feliz Navidad,RCA Records Label,8,72,41,6307136,12/5/2024
33,Sabrina Carpenter,Espresso,Island Records,1,31,34,6304861,12/5/2024
34,Sabrina Carpenter,Taste,Island Records,1,24,15,6289544,12/5/2024
35,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,3,29,34,6277783,12/5/2024
36,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,11,28,29,6233619,12/5/2024
37,"Arcane, Stromae, Pomme",Ma Meilleure Ennemie (from the series Arcane League of Legends),Riot Games,37,62,2,6157380,12/5/2024
38,Michael Bublé,It's Beginning to Look a Lot like Christmas,Reprise,7,64,52,6130877,12/5/2024
39,"Kendrick Lamar, AZ Chike",peekaboo (feat. azchike),"pgLang, under exclusive license to Interscope Records",11,11,2,6011098,12/5/2024
40,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas - 1947 Version,Geffen,5,79,46,5944876,12/5/2024
41,John Williams,"Carol of the Bells (From ""Home Alone"" Soundtrack)",Masterworks,40,74,38,5883243,12/5/2024
42,"Ariana Grande, Cynthia Erivo",What Is This Feeling?,Universal Studios and Republic Records,42,56,2,5762646,12/5/2024
43,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records / Republic Records,1,35,30,5702564,12/5/2024
44,Juice WRLD,Empty Out Your Pockets,Grade A Productions/Interscope Records,44,-1,1,5700830,12/5/2024
45,Sia,Snowman,Monkey Puzzle/Atlantic,34,83,24,5691400,12/5/2024
46,Kendrick Lamar,heart pt. 6,"pgLang, under exclusive license to Interscope Records",12,12,2,5623911,12/5/2024
47,Kendrick Lamar,man at the garden,"pgLang, under exclusive license to Interscope Records",7,7,2,5548446,12/5/2024
48,"GloRilla, Sexyy Red",WHATCHU KNO ABOUT ME (feat. Sexyy Red),CMG/Interscope Records,32,32,7,5508894,12/5/2024
49,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,37,31,5489034,12/5/2024
50,Ariana Grande,Popular,Universal Studios and Republic Records,50,51,2,5461501,12/5/2024
51,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",11,36,21,5341249,12/5/2024
52,Juice WRLD,Misfit,Grade A Productions/Interscope Records,52,-1,1,5327596,12/5/2024
53,The Marías,No One Noticed,Nice Life/Atlantic,20,46,16,5277823,12/5/2024
54,Darlene Love,Christmas (Baby Please Come Home),Legacy Recordings,19,133,28,5260890,12/5/2024
55,Chuck Berry,Run Rudolph Run,Geffen*,22,132,37,5250215,12/5/2024
56,Nat King Cole,Deck The Hall,CAPITOL CATALOG MKT (C92),23,120,15,5110397,12/5/2024
57,"Tyler, The Creator, Daniel Caesar",St. Chroma (feat. Daniel Caesar),Columbia,1,30,6,5110021,12/5/2024
58,"Kendrick Lamar, SZA",gloria (with sza),"pgLang, under exclusive license to Interscope Records",15,15,2,5097400,12/5/2024
59,Sabrina Carpenter,Please Please Please,Island Records,1,40,26,5063956,12/5/2024
60,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,41,46,5039299,12/5/2024
61,Don Toliver,No Pole,Cactus Jack / Atlantic,49,71,7,4972054,12/5/2024
62,Elvis Presley,Blue Christmas,RCA Victor,17,138,39,4870086,12/5/2024
63,Teddy Swims,Lose Control,Warner Records,10,39,56,4858398,12/5/2024
64,Burl Ives,A Holly Jolly Christmas,Geffen,5,170,45,4835356,12/5/2024
65,Vince Guaraldi Trio,Christmas Time Is Here,Fantasy Records,32,176,30,4789054,12/5/2024
66,The Kid LAROI,NIGHTS LIKE THIS,Columbia,24,47,24,4783932,12/5/2024
67,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,52,110,4776641,12/5/2024
68,Chappell Roan,HOT TO GO!,Chappell Roan PS/ Island,9,44,34,4762187,12/5/2024
69,"Bing Crosby, The Andrews Sisters",Mele Kalikimaka - New mono-to-stereo mix,Good Music,28,161,24,4711337,12/5/2024
70,The Neighbourhood,Sweater Weather,Columbia,13,50,224,4697881,12/5/2024
71,"Oscar Maydon, Fuerza Regida",Tu Boda,Rancho Humilde/Sony Music Latin,19,38,8,4673655,12/5/2024
72,The Beach Boys,Little Saint Nick - 1991 Remix,Capitol Records,19,163,28,4653034,12/5/2024
73,Frank Sinatra,Jingle Bells - Remastered 1999,Capitol Records,18,-1,18,4594969,12/5/2024
74,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!,WTM CLASSIC,9,154,43,4566063,12/5/2024
75,"Eartha Kitt, Henri René and His Orchestra",Santa Baby (with Henri René & His Orchestra),RCA Bluebird,20,128,36,4565026,12/5/2024
