rank,artist,track,label,sp_peak,sp_last_week,sp_woc,streams,date
149,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),OVO,2,126,80,2758887,12/28/2023
150,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,2,101,9,2747158,12/28/2023
151,The Red Clay Strays,Wondering Why,Red Clay Strays,136,136,4,2736099,12/28/2023
152,Zach Bryan,Oklahoma Smokeshow,Warner Records,99,144,24,2713788,12/28/2023
153,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,41,132,158,2692353,12/28/2023
154,TV Girl,Cigarettes out the Window,TV Girl,102,131,10,2684285,12/28/2023
155,Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,Legacy Recordings,100,-1,12,2683724,12/28/2023
156,"Nicki Minaj, Drake",Needle (feat. Drake),Republic Records,26,67,3,2670380,12/28/2023
157,Zach Bryan,Heading South,Warner Records,36,145,59,2669494,12/28/2023
158,Drake,You Broke My Heart,OVO/Republic,12,158,6,2665932,12/28/2023
159,Taylor Swift,Anti-Hero,Taylor Swift,1,139,62,2632309,12/28/2023
160,Michael Bublé,Christmas (Baby Please Come Home),Reprise,160,-1,1,2631742,12/28/2023
161,"Metro Boomin, Future, Chris Brown",Superhero (Heroes & Villains) [with Future & Chris Brown],Republic Records,2,141,56,2605939,12/28/2023
162,Run–D.M.C.,Christmas In Hollis,Arista/Legacy,162,-1,1,2598698,12/28/2023
163,Kali Uchis,Moonlight,Geffen Records,27,142,44,2590556,12/28/2023
164,"Peso Pluma, Tito Double P",LA PEOPLE,Double P Records,138,138,7,2578355,12/28/2023
165,Kay Starr,The Man with the Bag,Universal Digital Enterprises,132,-1,5,2554575,12/28/2023
166,The Killers,Mr. Brightside,Island Records,60,152,174,2554413,12/28/2023
167,Lord Huron,The Night We Met,Play It Again Sam,48,143,88,2553000,12/28/2023
168,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",49,148,73,2541831,12/28/2023
169,"Jessie Murph, Jelly Roll",Wild Ones (feat. Jelly Roll),Columbia,107,162,12,2518935,12/28/2023
170,"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),Shady/Aftermath/Interscope Records,2,147,101,2511832,12/28/2023
171,Bing Crosby,Silver Bells,Dance Plant Records,127,-1,6,2509255,12/28/2023
172,Stevie Wonder,Someday At Christmas,UNI/MOTOWN,172,-1,2,2509158,12/28/2023
173,Cigarettes After Sex,Apocalypse,Partisan Records,49,149,73,2495610,12/28/2023
174,"Noah Kahan, Post Malone",Dial Drunk (with Post Malone),Mercury Records/Republic Records,13,153,24,2472369,12/28/2023
175,Bing Crosby,The Little Drummer Boy - Remastered 2006,Capitol Records,149,-1,6,2471711,12/28/2023
176,"The Weeknd, Lana Del Rey",Stargirl Interlude,Universal Republic Records,56,163,78,2471320,12/28/2023
177,The Ronettes,Frosty the Snowman,Legacy Recordings,142,-1,6,2470408,12/28/2023
178,Michael Bublé,Santa Claus Is Coming to Town,Reprise,86,-1,10,2452453,12/28/2023
179,Bing Crosby,God Rest Ye Merry Gentlemen,Dance Plant Records,117,-1,4,2447321,12/28/2023
180,"Zach Bryan, Maggie Rogers",Dawns (feat. Maggie Rogers),Warner Records,17,174,29,2444045,12/28/2023
181,"Lil Wayne, Drake, Future",Love Me,CM/Republic,98,165,30,2402344,12/28/2023
182,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,9,180,31,2396505,12/28/2023
183,Kanye West,I Wonder,Roc-A-Fella,57,160,40,2380437,12/28/2023
184,Richy Mitch & The Coal Miners,Evergreen,Richy Mitch & The Coal Miners,97,161,14,2377902,12/28/2023
185,Arctic Monkeys,505,Domino Recording Co,18,173,154,2375364,12/28/2023
186,Brent Faiyaz,Clouded,Lost Kids,39,157,63,2369877,12/28/2023
187,Tate McRae,run for the hills,RCA Records Label,48,125,3,2369306,12/28/2023
188,Olivia Rodrigo,bad idea right?,Olivia Rodrigo PS,1,159,20,2361181,12/28/2023
189,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,1,154,56,2361095,12/28/2023
190,Taylor Swift,cardigan,Taylor Swift,1,166,65,2356392,12/28/2023
191,Gene Autry,Rudolph the Red-Nosed Reindeer,Columbia/Legacy,157,-1,3,2347992,12/28/2023
192,Taylor Swift,Lover,Taylor Swift,1,187,57,2344820,12/28/2023
193,Ava Max,Christmas Without You,Atlantic Records,176,-1,2,2340520,12/28/2023
194,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,192,267,2330983,12/28/2023
195,"Travis Scott, Drake",MELTDOWN (feat. Drake),Cactus Jack/Epic,1,156,22,2303871,12/28/2023
196,Nat King Cole,O Come All Ye Faithful,CAPITOL CATALOG MKT (C92),166,-1,3,2299957,12/28/2023
197,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,3,188,140,2294861,12/28/2023
198,Zach Bryan,"Burn, Burn, Burn",Warner Records,68,-1,20,2293545,12/28/2023
199,BigXthaPlug,Mmhmm,BigXthaPlug under exclusive license to UnitedMasters LLC,167,167,2,2287235,12/28/2023
200,Bing Crosby,Frosty The Snowman - Remastered 2006,Capitol Records,200,-1,1,2282931,12/28/2023
1,Jack Harlow,Lovin On Me,Generation Now/Atlantic,1,15,8,11166515,1/4/2024
2,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,24,62,8512102,1/4/2024
3,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,1,27,19,8052714,1/4/2024
4,Taylor Swift,Cruel Summer,Taylor Swift,2,36,60,7412947,1/4/2024
5,Tate McRae,greedy,RCA Records Label,4,33,16,7302088,1/4/2024
6,Mitski,My Love Mine All Mine,Dead Oceans,3,30,16,7125296,1/4/2024
7,Nicki Minaj,FTCU,Republic Records,7,35,4,6430695,1/4/2024
8,Doja Cat,Agora Hills,Kemosabe Records/RCA Records,6,40,15,6040104,1/4/2024
9,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,55,22,5702584,1/4/2024
10,SZA,Snooze,Top Dawg Entertainment/RCA Records,10,49,56,5514337,1/4/2024
11,"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate),Dreamville/Interscope,11,42,13,5497474,1/4/2024
12,Xavi,La Diabla,Interscope Records,12,59,3,5458519,1/4/2024
13,Zach Bryan,Something in the Orange,Warner Records,4,48,89,5412109,1/4/2024
14,"Drake, Yeat",IDGAF (feat. Yeat),OVO/Republic,1,45,13,5217492,1/4/2024
15,Gunna,fukumean,300 Entertainment,1,52,29,5111626,1/4/2024
16,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,60,49,5012033,1/4/2024
17,Lil Tecca,500lbs,Galactic Records/Lil Tecca,12,53,17,4938551,1/4/2024
18,Olivia Rodrigo,vampire,Olivia Rodrigo PS,1,63,27,4899848,1/4/2024
19,"Drake, J. Cole",First Person Shooter (feat. J. Cole),OVO/Republic,2,61,13,4766946,1/4/2024
20,Travis Scott,I KNOW ?,Cactus Jack/Epic,3,67,23,4692219,1/4/2024
21,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,78,56,4593720,1/4/2024
22,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,5,71,131,4562234,1/4/2024
23,Xavi,La Víctima,Interscope Records,23,68,5,4534474,1/4/2024
24,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1,75,10,4458358,1/4/2024
25,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),OVO/Republic,11,84,13,4345633,1/4/2024
26,Tyla,Water,FAX Records/Epic,23,102,14,4239791,1/4/2024
27,"Nicki Minaj, Lil Uzi Vert",Everybody (feat. Lil Uzi Vert),Republic Records,27,74,4,4224618,1/4/2024
28,J. Cole,No Role Modelz,Roc Nation Records LLC,10,85,308,4103901,1/4/2024
29,"Fuerza Regida, Marshmello",HARLEY QUINN,Rancho Humilde/Street Mob Records,20,77,10,4090834,1/4/2024
30,Tate McRae,exes,RCA Records Label,16,93,7,3949020,1/4/2024
31,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,31,105,6,3886184,1/4/2024
32,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),XO / Republic Records,16,114,25,3847967,1/4/2024
33,Frank Ocean,Pink + White,Boys Don't Cry,30,101,73,3758362,1/4/2024
34,The Neighbourhood,Sweater Weather,Columbia,13,97,176,3716505,1/4/2024
35,"Peso Pluma, Anitta",BELLAKEO,Double P Records,35,99,3,3701250,1/4/2024
36,Sabrina Carpenter,Feather,Island Records,36,137,6,3665558,1/4/2024
37,Teddy Swims,Lose Control,Warner Records,37,115,8,3662086,1/4/2024
38,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",Darkroom/Interscope Records,6,103,25,3650855,1/4/2024
39,Bad Bunny,MONACO,Rimas Entertainment LLC,2,96,12,3624527,1/4/2024
40,TV Girl,Lovers Rock,TV Girl,40,100,59,3517478,1/4/2024
41,Kenya Grace,Strangers,Warner Records/Major Recordings,17,106,17,3512379,1/4/2024
42,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,Street Mob Records,40,98,18,3504833,1/4/2024
43,Morgan Wallen,Thinkin’ Bout Me,Big Loud Records / Mercury Records / Republic Records,9,109,44,3501663,1/4/2024
44,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,2,124,23,3477698,1/4/2024
45,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,9,182,32,3462427,1/4/2024
46,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Lions Gate Entertainment Inc. under exclusive license to Geffen Records,21,107,9,3437325,1/4/2024
47,TV Girl,Not Allowed,TV Girl,47,94,34,3415861,1/4/2024
48,Kanye West,Heartless,Roc-A-Fella,40,110,118,3409696,1/4/2024
49,Morgan Wallen,You Proof,Big Loud Records / Mercury Records / Republic Records,8,127,86,3351957,1/4/2024
50,The Killers,Mr. Brightside,Island Records,50,166,175,3339686,1/4/2024
51,Morgan Wallen,Wasted On You,Big Loud / Republic,3,117,154,3329257,1/4/2024
52,Kanye West,Father Stretch My Hands Pt. 1,Rock The World/IDJ/Kanye LP7,52,119,97,3278693,1/4/2024
53,Hotel Ugly,Shut up My Moms Calling,"Hotel Ugly, under exclusive license to Amuseio AB",29,123,70,3257584,1/4/2024
54,Luke Combs,Fast Car,River House Artists/Columbia Nashville,4,141,41,3173560,1/4/2024
55,"Zach Bryan, The War And Treaty",Hey Driver (feat. The War and Treaty),Warner Records,3,132,19,3164649,1/4/2024
56,"Juice WRLD, Eminem, benny blanco",Lace It (with Eminem & benny blanco),Grade A Productions/Interscope Records,56,88,3,3162103,1/4/2024
57,"Eslabon Armado, Peso Pluma",Ella Baila Sola,DEL Records,1,113,42,3136880,1/4/2024
58,d4vd,Romantic Homicide,Darkroom/Interscope Records,3,116,74,3125240,1/4/2024
59,Tory Lanez,The Color Violet,One Umbrella Records,26,134,70,3123235,1/4/2024
60,Miguel,Sure Thing,Jive,10,145,65,3111864,1/4/2024
61,Steve Lacy,Dark Red,Three Quarter,16,131,126,3107840,1/4/2024
62,"KAROL G, Peso Pluma",QLONA,Bichota/Interscope Records,16,118,21,3101594,1/4/2024
63,"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA,Double P Records,7,112,28,3091572,1/4/2024
64,"Bad Bunny, Feid",PERRO NEGRO,Rimas Entertainment LLC,10,148,12,3083138,1/4/2024
65,Zach Bryan,Heading South,Warner Records,36,157,60,3074609,1/4/2024
66,David Kushner,Daylight,Miserable Music Group,11,138,38,3048458,1/4/2024
67,Taylor Swift,Anti-Hero,Taylor Swift,1,159,63,3048281,1/4/2024
68,The Weeknd,Die For You,Universal Republic Records,8,139,147,3044856,1/4/2024
69,Taylor Swift,You’re Losing Me (From The Vault),Taylor Swift,7,136,6,3033567,1/4/2024
70,"Kanye West, Pusha T",Runaway,Roc-A-Fella,70,129,8,3028584,1/4/2024
