date,rank,track,artist,sales_last_week,sales_peak,sales_woc
2/24/2024,13,Lose Control,Teddy Swims,17,1,31
2/24/2024,14,"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,8,8,7
2/24/2024,15,Purple Irises,Gwen Stefani & Blake Shelton,-,15,1
2/24/2024,16,Yeah Glo!,GloRilla,-,16,1
2/24/2024,17,U Got It Bad,Usher,-,17,1
2/24/2024,18,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,-,18,1
2/24/2024,19,My Boo,Usher And Alicia Keys,-,2,22
2/24/2024,20,How Do You Like Me Now?!,Toby Keith,12,12,2
2/24/2024,21,As Good As I Once Was,Toby Keith,13,13,18
2/24/2024,22,Turn The Lights Back On,Billy Joel,5,5,3
2/24/2024,23,Selfish,Justin Timberlake,21,4,4
2/24/2024,24,Burn,Usher,-,24,1
2/24/2024,25,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,-,4,24
3/2/2024,1,Texas Hold 'Em,Beyonce,1,1,2
3/2/2024,2,Lose Control,Teddy Swims,13,1,32
3/2/2024,3,Beautiful Things,Benson Boone,8,2,5
3/2/2024,4,Standing Next To You,Jung Kook,6,1,16
3/2/2024,5,"Yes, And?",Ariana Grande,-,1,3
3/2/2024,6,Lovin On Me,Jack Harlow,11,1,15
3/2/2024,7,Training Season,Dua Lipa,-,7,1
3/2/2024,8,Flowers,Miley Cyrus,7,1,44
3/2/2024,9,Don't Let The Old Man In,Toby Keith,3,2,6
3/2/2024,10,Turn The Lights Back On,Billy Joel,22,5,4
3/2/2024,11,Selfish,Justin Timberlake,23,4,5
3/2/2024,12,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,25,4,25
3/2/2024,13,Fast Car,Luke Combs,9,1,38
3/2/2024,14,16 Carriages,Beyonce,2,2,2
3/2/2024,15,Houdini,Dua Lipa,-,3,10
3/2/2024,16,Made For Me,Muni Long,-,8,3
3/2/2024,17,Fast Car,Tracy Chapman,5,1,11
3/2/2024,18,Save Me,Jelly Roll,-,18,7
3/2/2024,19,Lil Boo Thang,Paul Russell,-,2,25
3/2/2024,20,Yeah!,Usher Featuring Lil Jon & Ludacris,4,4,76
3/2/2024,21,Until I Found You,Stephen Sanchez,-,21,17
3/2/2024,22,Where The Wild Things Are,Luke Combs,-,13,7
3/2/2024,23,Country's Cool Again,Lainey Wilson,-,23,1
3/2/2024,24,Murder On The Dancefloor,Sophie Ellis-Bextor,-,7,6
3/2/2024,25,Live Like You Were Dying,Tim McGraw,-,10,16
3/9/2024,1,Beautiful Things,Benson Boone,3,1,6
3/9/2024,2,Texas Hold 'Em,Beyonce,1,1,3
3/9/2024,3,Lose Control,Teddy Swims,2,1,33
3/9/2024,4,The Machine,Tom MacDonald,-,4,1
3/9/2024,5,Standing Next To You,Jung Kook,4,1,17
3/9/2024,6,Wine Into Whiskey,Tucker Wetmore,-,6,1
3/9/2024,7,Lovin On Me,Jack Harlow,6,1,16
3/9/2024,8,What Was I Made For?,Billie Eilish,-,4,21
3/9/2024,9,Flowers,Miley Cyrus,8,1,45
3/9/2024,10,Made For Me,Muni Long,16,8,4
3/9/2024,11,Drown,Justin Timberlake,-,11,1
3/9/2024,12,Don't Let The Old Man In,Toby Keith,9,2,7
3/9/2024,13,Fake Love,BTS,-,1,3
3/9/2024,14,Houdini,Dua Lipa,15,3,11
3/9/2024,15,Selfish,Justin Timberlake,11,4,6
3/9/2024,16,Where The Wild Things Are,Luke Combs,22,13,8
3/9/2024,17,Fast Car,Luke Combs,13,1,39
3/9/2024,18,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,12,4,26
